Title,Genre(s),Developer(s),Publisher(s)
Sturmwind Ex,Shoot 'em up,Duranik,B-alive
Styx: Master of Shadows,"Action-adventure, Stealth",Cyanide Studio,Focus Home Interactive
Styx: Shards of Darkness,"Action-adventure, Stealth",Cyanide Studio,Focus Home Interactive
Subaeria,"Action, roguelite",Illogika,Illogika
SubaraCity,"Puzzle, Casual","Ryuji Kuwaki, Flyhigh Works",Esquadra
Subdivision Infinity DX,Space Combat Simulator,Mistfly Games,Blowfish Studios
Subject 13,Adventure,Koneko,Microids
Sublevel Zero Redux,Shooter,Sigtrap Games,Merge Games
Submerged,"Action & Adventure, Platformer",Uppercut Games,Uppercut Games
Subnautica,"Action & Adventure, Survival",Unknown Worlds / Grip Games,Unknown Worlds Entertainment
Subterrain,"Action & Adventure, Survival",Pixellore,Pixellore
Sudden Strike 4: European Battlefields Edition,Real-time tactics,Kite Games,Kalypso Media
The Sun and Moon,Puzzle,Daniel Linssen,Digerati
Sundered: Eldritch Edition,Roguelite Metroidvania,Thunder Lotus Games,Thunder Lotus Games
Sunset Overdrive,"Open world, Shooter",Insomniac Games,Xbox Game Studios
Sunshine Manor,Horrorrole-playing,Fossil Games,Fossil Games
Super Blackjack Battle II Turbo Edition,"Card, Fighting",Stage Clear Studios,Headup Games
Super Blood Hockey,Sports,"Loren Lemcke, Kittehface Software",Digerati
Super Bomb Rush!,"Puzzle, Strategy",Curvature Systems,Curvature Systems
Super Bomberman R,"Action, maze",Konami Digital Entertainment,Konami
Super Box Land Demake,Puzzle,Lightup,Ratalaika Games
Super Cloudbuilt,"Platform, Parkour",Coilworks,Double Eleven
Super Comboman: Smash Edition,Action,Flashman Games,Flashman Games
Super Destronaut DX,Shoot 'em up,Petite Games,Ratalaika Games
Super Destronaut: Land Wars,Shooter,Petite Games,Ratalaika Games
Super Dodgeball Beats,"Music/Rhythm, Sports",Finalboss Games,Playstack
Super Dungeon Bros,Role-playing,React Games,Wired Productions
Super Hydorah,"Action & Adventure, Shooter",Abylight Studios,Abylight Studios
Super Hyperactive Ninja,Platformer,JanduSoft,JanduSoft
Super Lucky's Tale,Platform,Playful Corp,Xbox Game Studios
Super Meat Boy Forever,Platform,Team Meat,Team Meat
Super Mega Baseball,Sports,Metalhead Software,Metalhead Software
Super Mega Baseball 2,Sports,Metalhead Software,Metalhead Software
Super Mega Baseball 3,Sports,Metalhead Software,Metalhead Software
Super Mega Space Blaster Special Turbo,"Arcade, shoot 'em up",Bare Knuckle Developments,Bare Knuckle Developments
Super Monkey Ball: Banana Blitz,Platform,Sega,Sega
Super Monkey Ball: Banana Mania,Platform,Ryu Ga Gotoku Studio,Sega
Super Mutant Alien Assault,"Shooter, Platformer",Cybernate,Surprise Attack Games
Super Night Riders,Racing,Neko Works,Neko Works
Super Party Sports: Football,Puzzle,HandyGames,HandyGames
Super Pixel Racers,Racing,21c Ducks,H2 InteractivePQube
Super Space Serpent SE,Twin-stick shooter,Petrus Games,Productions Associees
Super Star Blast,"Shoot 'em up, Arcade",EntwicklerX,EntwicklerX
Super Street: The Game,Racing,Team6 Game Studios,Lion Castle
Super Tennis Blast,Sports,Unfinished Pixel,Unfinished Pixel
Super Time Force,Shooterside scroller,Capybara Games,Capybara Games
Super Toy Cars,Racing,Eclipse Games,Eclipse Games
Super Volley Blast,Sports,Unfinished Pixel,Unfinished Pixel
Super Weekend Mode,Arcade,Pixelteriyaki,Ratalaika Games
Super Wiloo Demake,"Platformer, Retro",Lightup,Ratalaika Games
Superbeat: Xonic,"Music, Rhythm",PM Studios,PM Studios
SuperEpic: The Entertainment War,"Action-adventure, Metroidvania",Undercoders,Numskull Games
Superhot,First-person shooter,Superhot Team,Superhot Team
Superhot: Mind Control Delete,First-person shooter,Superhot Team,Superhot Team
Supermarket Shriek,Racing,Billy Goat Entertainment,Billy Goat Entertainment
Supraland,Platformerpuzzleaction,Supra Games,Humble Games
The Surge,Role-playing,Deck13,Focus Home Interactive
The Surge 2,Role-playing,Deck13,Focus Home Interactive
Surviving Mars,"City-building, construction and management simulation",Haemimont Games,Paradox Interactive
Surviving the Aftermath,Simulationcity-building,Iceflake Studios,Paradox Interactive
SwapQuest,"Puzzle, Role-playing",Rebusmind,Rebusmind
The Swapper,Platformerpuzzle,Facepalm Games,Curve Digital
The Swindle,Action & Adventure,Dan Marshall,Curve Digital
Switch or Die Trying,"Puzzle, Platformer",Threye Interactive,Threye Interactive
Sword Art Online: Alicization Lycoris,Role-playing,Aquria,Bandai Namco
Sword Art Online: Fatal Bullet,"Role-playing, Shooter",Dimps,Bandai Namco Entertainment
Sword Coast Legends,Role-playing,n-SpaceDigital Extremes,n-SpaceDigital Extremes
Sword of the Necromancer,Roguelikerole-playing,Grimorio of Games,JanduSoft
Syberia III,Adventure,Anuman Interactive,Microïds
Sylvio,Action & Adventure,Stroboskop,Stroboskop
Symmetry,"Management, Survival",Sleepless Clinic,Imgn Pro
Syndrome,"Survival, Horror",Camel 101,BigMoon Entertainment
Synthetik: Ultimate,Top-down shooter,Flow Fire,Flow Fire
Syrup and the Ultimate Sweet,Visual novel,NomnomNami,Ratalaika Games
System Shock,Action role-playing,Night Dive Studios,Night Dive Studios
Table Top Racing: World Tour,Racing,Playrise Digital,Playrise Digital
Tachyon Project,Shooter,Eclipse Games,Eclipse Games
Tacoma,Adventure,Fullbright,Fullbright
Tactics V: Obsidian Brigade,Tactical role-playing,Nothing Games Studios,Nothing Games Studios
Taimumari: Complete Edition,Platformer,Ternox,Victory Road
Talent Not Included,Platformer,Frima Games Studio,Frima Games Studio
Tales from the Borderlands,Graphic adventure,Telltale Games,Telltale Games
Tales of Arise,Action role-playing,Bandai Namco Games,Bandai Namco Entertainment
Tales of Vesperia: Definitive Edition,Role-playing,Bandai Namco Games,Bandai Namco Entertainment
The Talos Principle,First Person Puzzler,Croteam,Devolver Digital
Tamashii,"Puzzle-platformer, Horror","Vikinator, Stage Clear Studios",Digerati
Tandem: A Tale of Shadows,Puzzleplatform,Monochrome,Hatinh Interactive
Tango Fiesta,Action,Spilt Milk Studios,Merge Games
Tanky Tanks,Arcade,Epixr,Epixr
Taxi Chaos,Racing,Team6 Game Studios,Lion Castle Entertainment
Team Sonic Racing,Racing,Sumo Digital,Sega
Tears of Avia,Turn-based strategy,CooCooSqueaky,PQube
The Technomancer,Role-playing,Spiders,Focus Home Interactive
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Action & Adventure,PlatinumGames,Activision
Tekken 7,Fighting,Bandai Namco Entertainment,Bandai Namco Entertainment
Telling Lies,FMV adventure,Sam Barlow,Annapurna Interactive
Tempest 4000,Shoot 'em up,Llamasoft,Atari
Tennis in the Face,Puzzle,10tons,10tons
Tennis World Tour,Sports,Breakpoint Studio,Bigben Interactive
Tennis World Tour 2,Sports,Big Ant Studios,Nacon
Terraria,Sandbox,Engine Software,505 Games
TerraTech,Vehicular Sandbox,Payload Studios,Payload Studios
Tesla vs Lovecraft,Shoot 'em up,10tons,10tons
Teslagrad,Platformer,Rain Games,Rain Games
Teslapunk,Shooter,klutzGames,klutzGames
Tetraminos,Puzzle,Sanuk Games,Bigben Interactive
Tetra's Escape,Puzzle,ABX Game Studios,Ratalaika Games
Tetris Effect Connected,Puzzle,MonstarsResonair,Enhance Games
Tetris Ultimate,Puzzle,SoMa Play,Ubisoft
Tetrobot and Co.,Puzzle,Swing Swing Submarine,Neko Entertainment
Tetsumo Party,Party game,Monster Couch,Monster Couch
Thea: The Awakening,"Strategy, Simulation",MuHa Games,MuHa Games
TheHunter: Call of the Wild,"Sport, Simulation",Expansive Worlds,Avalanche Studios
They Are Billions,"Strategy, RTS",Numantian Games,BlitWorks
Thief,Stealth,Eidos Montréal,Square Enix
Thief of Thieves: Season One,"Adventure, Stealth",Rival Games,Rival Games
Thief Simulator,"Action, Stealth","Noble Muffins, Console Labs",Playway
Thimbleweed Park,Point & Click Adventure,Ron Gilbert & Gary Winnick,Ron Gilbert & Gary Winnick
Think of the Children,Co-op strategy-sim,Jammed Up Studios,Fellow Traveler
This Is the Police,"Strategy, Management",Weappy Studio,THQ Nordic
This Is the Police 2,"Strategy, Management",Weappy Studio,THQ Nordic
This War of Mine: The Little Ones,Action & Adventure,11 Bit Studios,Deep Silver
Thomas Was Alone,"Puzzle, platform",Curve Digital,Curve Digital
Three Fourths Home: Extended Edition,Visual novel,[bracket] Games,Digerati
Threes,Puzzle,Hidden VariableSirvo,Sirvo
Thronebreaker: The Witcher Tales,Collectible card gamerole playing,CD Projekt,CD Projekt
Throne Quest Deluxe,Action role-playing,Valorware,Valorware
Through the Woods,Horror,Antagonist,1C Company
Thumper,Musicrhythm,Drool,Drool
Thunder Paw,"Action, run & gun",Sergio Poverony,Ratalaika Games
Ticket to Ride,"Strategy, board game",Asmodee Digital,Asmodee Digital
Tiles,Puzzle,Romans I XVI Gaming,Romans I XVI Gaming
Time Carnage,Rail Shooter,Wales Interactive,Wales Interactive
Time Recoil,Shooter,10tons,10tons
Timespinner,"Metroidvania, Action-adventure",Lunar Ray Games,Chucklefish
Tiny Tina's Wonderlands,Action role-playingfirst-person shooter,Gearbox Software,2K
Tiny Troopers: Joint Ops,Shooter,Epiphany Games,Wired Productions
Titan Quest,ActionRole-playing,Black Forest Games,THQ Nordic
Titanfall,First-person shootermecha,Respawn Entertainment,Electronic Arts
Titanfall 2,First-person shootermecha,Respawn Entertainment,Electronic Arts
Toby: The Secret Mine,action-adventureplatform,Lukáš Navrátil Games,Headup Games
ToeJam & Earl: Back in the Groove,Adventure,HumaNature Studios,HumaNature Studios
TOHU,Adventure,Fireart Games,The Irregular Corporation
Toki Juju Densetsu,Platformer,Microids,Microids
Tokyo 42,Action,Smac Games,Mode 7
Tokyo Warfare Turbo,Shooter,Pablo Vidaurre Sanz,Pablo Vidaurre Sanz
Tom Clancy's Ghost Recon Breakpoint,Third-person shooterlooter shooter,Ubisoft Paris,Ubisoft
Tom Clancy's Ghost Recon Wildlands,Third-person shootertactical shooter,Ubisoft Paris,Ubisoft
Tom Clancy's The Division,Third-person shooteraction role-playing,Massive Entertainment,Ubisoft
Tom Clancy's The Division 2,Third-person shooteraction role-playing,Massive Entertainment,Ubisoft
Tom Clancy's Rainbow Six Extraction,First-person shooter,Ubisoft Montreal,Ubisoft
Tom Clancy's Rainbow Six Siege,First-person shooter,"Ubisoft Montreal, Red Storm Entertainment, Ubisoft Toronto",Ubisoft
Tomb Raider: Definitive Edition,Action-adventure,Crystal Dynamics,Square Enix
Tony Hawk's Pro Skater 5,Sports,Robomondo,Activision
Tony Stewart's Sprint Car Racing,Racing,Monster Games,Monster Games
Tools Up!,Party game,The Knights of Unity,All In! Games
Top Run,"Endless runner, action",Katata Games,Fantastico Studio
Torchlight II,Action role-playing,Runic GamesPanic Button,Perfect World Entertainment
Torchlight III,Action role-playing,Echtra Games,Perfect World Entertainment
Torment: Tides of Numenera,Role-playing,inXile Entertainment,Techland Publishing
Toro,Simulator,Reco Technology,Reco Technology
TorqueL: Physics Modified Edition,Platformer,Full Power Side Attack,Full Power Side Attack
Totally Reliable Delivery Service,Action,We’re Five Games,TinyBuild
Toto Temple Deluxe,Platform arena brawler,Juicy Beast Studio,Juicy Beast Studio
Touhou Luna Nights,PlatformMetroidvania,Team Ladybug,Playism
Tour de France 2015,Sports,Cyanide Studio,Focus Home Interactive
Tour de France 2016,Sports,Cyanide Studio,Focus Home Interactive
Tour de France 2017,Sports,Cyanide Studio,Focus Home Interactive
Tour de France 2018,Sports,Cyanide Studio,Focus Home Interactive
Tour de France 2019,Sports,Cyanide Studio,Bigben Interactive
Tour de France 2020,Sports,Cyanide Studio,Nacon
The Touryst,Action-adventure,Shin'en Multimedia,Shin'en Multimedia
The Tower of Beatrice,Puzzle adventure,Fairy Forest,Sometimes You
Tower of Time,Role playing,"Event Horizon, Stage Clear Studios",Digerati
TowerFall Ascension,"Arena combat, platform",Matt Thorson,Matt Makes Games
Tower of Guns,First-person shooter,Terrible Posture Games,Terrible Posture Games
The Town of Light,"Adventure, horror",LKA.it,Wired Productions
Townsmen: A Kingdom Rebuilt,"Strategy, Management",HandyGames,HandyGames
Toy Odyssey,Metroidvania,Hiker Games,Digital Smash
Toy Soldiers HD,Actionstrategy,Signal Studios,Accelerate Games
Toy Soldiers: War Chest,Actionstrategy,Signal Studios,Ubisoft
Trackmania Turbo,Racing,Nadeo,Ubisoft
Tracks: The Train Set Game,"Sandbox, Simulation",Whoop Group,Excalibur Games
Trailblazers,Racing,Supergonk,Rising Star Games
Trailmakers,"Vehicular Sandbox, Simulation",Flashbulb Games,Flashbulb Games
Train Sim World,Simulation,Dovetail Games,Dovetail Games
Train Sim World 2020,Simulation,Dovetail Games,Dovetail Games
Transcripted,Shooter,AlkemiSeaven Studio,Plug In Digital
Transference,Adventure,UbisoftSpectreVision,Ubisoft
Transformers: Battlegrounds,Tactical role-playing,Coatsink,Outright Games
Transformers: Devastation,Actionbeat 'em up,PlatinumGames,Activision
Transformers: Fall of Cybertron,Actionbeat 'em up,High Moon StudiosFunLabs,Activision
Transformers: Rise of the Dark Spark,Action-adventure,Edge of Reality,Activision
Transport Giant: Gold Edition,Strategy,Reactor Games,Toplitz Productions
Treasure Stack,Puzzle,Pixelakes,Pixelakes
Tricky Towers,"Party, puzzle",WeirdBeard,WeirdBeard
Trine 4: The Nightmare Prince,Action-adventure,Frozenbyte,Modus Games
Tron RUN/r,Racing,Sanzaru Games,Disney Interactive
Trover Saves the Universe,Action-adventure,Squanch Games,Squanch Games
Trials Fusion,Racingplatform,RedLynx,Ubisoft
Trials of the Blood Dragon,RacingPlatform,RedLynx,Ubisoft
Trials Rising,RacingPlatform,RedLynx,Ubisoft
Trivial Pursuit Live!,Board game,Longtail Studios,Ubisoft
Troll and I,Action & Adventure,Maximum Games,Maximum Games
Tropico 5,Strategy & Simulation,Haemimont Games,Kalypso Media
Tropico 6,Strategy & Simulation,Limbic Entertainment,Kalypso Media
Truck Driver,Simulation,Triangle Games,Soedesco
Trüberbrook,Adventure,btf,Headup Games
Trulon: The Shadow Engine,role-playing,Kyy Games,Headup Games
TT Isle of Man: Ride on the Edge,Racing,Kylotonn,Bigben Interactive
TT Isle of Man: Ride on the Edge 2,Racing,Kylotonn,Bigben Interactive
Tumblestone,Puzzle,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild
Tunche,Beat 'em up,Leap Game Studios,HypeTrain Digital
The Turing Test,"Puzzle, Adventure",Bulkhead Interactive,Square Enix Collective
TurnOn,Platformer,Brainy Studio,Brainy Studio
Turok: Dinosaur Hunter,First-person shooter,Night Dive Studios,Night Dive Studios
Turok 2: Seeds of Evil,First-person shooter,Night Dive Studios,Night Dive Studios
Twelve Minutes,Adventure,Luis Antonio,Annapurna Interactive
TwinCop,Co-op twin-stick shooter,Finite Reflection Studios,Finite Reflection Studios
Twin Mirror,Adventure,Dontnod Entertainment,Dontnod Entertainment
Twin Robots: Ultimate Edition,Platformer,Thinice Games,Ratalaika Games
Two Parsecs From Earth,"Action, metroidvania",ABX Games Studios,Ratalaika Games
Two Point Hospital,"Strategy, management",Two Point Studios,Sega
Tyd Wag vir Niemand,First-person platform puzzler,Skobbejak Games,Skobbejak Games
Typoman,Puzzleplatformer,Brainseed Factory,Brainseed Factory
UglyDolls: An Imperfect Adventure,Kids & Family,Well Played Games,Outright Games
Ultimate Chicken Horse,Platformer,Clever Endeavour Games,Clever Endeavour Games
Ultimate Racing 2D,Racing,Applimazing,Applimazing
Ultratron,Platformer,Carbon,Curve Digital
Unbox: Newbie's Adventure,Platformer,Prospect Games,Merge Games
Uncanny Valley,Horror adventure,SPL,Digerati
Uncharted Tides: Port Royal,Hidden object adventure,Cordelia Games,Artifex Mundi
Undead Horde,Action role-playing,10tons,10tons
Underhero,Platformerrole-playing,"Paper Castle Games, Stage Clear Studios",Digerati
Undernauts: Labyrinth of Yomi,Role-playing,Experience,JP: ExperienceWW: Aksys Games
Undertale,Role-playing,Tobyfox,8-4
Underworld Ascendant,Action role-playing,Otherside Entertainment,505 Games
Unepic,Platformerrole-playing,Francisco Tellez de Meneses,EnjoyUp Games
Unexplored,Roguelite action-role-playing,Nephilim Game StudiosLudomotion,Digerati
Unit 4,Platformer,Gamera Interactive,Gamera Interactive
Unknown Fate,1st-person adventure,MarsLit Games,MarsLit Games
Unmechanical: Extended,Puzzle-platformer,Talawa GamesTeotl Studios,Grip Games
Unnamed Fiasco,Action-adventureplatformer,Unnamed Fiasco Team,Unnamed Fiasco Team
Uno,Card & Board,Ubisoft Chengdu,Ubisoft
Unravel,Puzzle platformer,Coldwood Interactive,Electronic Arts
Unravel Two,Puzzle platformer,Coldwood Interactive,Electronic Arts
Unruly Heroes,Platformer,Magic Design Studios,Magic Design Studios
Unspottable,Party,GrosChevaux,GrosChevaux
Untitled Goose Game,"Action-adventure, stealth",House House,Panic
Unto The End,Action-adventure,2 Ton Studios,Big Sugar
Use Your Words,Party,Smiling Buddha Games,Screenwave Media
V-Rally 4,Racing,Kylotonn,Bigben Interactive
Vaccine,Action & Adventure,RNC,RNC
Valentino Rossi: The Game,Racing,Milestone srl,Milestone srl
Valfaris,"Action, platformer",Steel Mantis,Digital Uppercut
Valhalla Hills: Definitive Edition,Strategy,Daedalic Entertainment,Kalypso
Valiant Hearts: The Great War,Puzzleadventure,Ubisoft Montpellier,Ubisoft
Valkyria Chronicles 4,Tactical role-playing,Sega,Sega
Valkyria Revolution,Strategy role-playing,Sega,Sega
Valley,Adventure,Blue Isle Studios,Blue Isle Studios
Vambrace: Cold Soul,Role-playing,Devespresso Games,Headup Games
