Title,Genre(s),Developer(s),Publisher(s)
Worms Battlegrounds,Artilleryturn-based strategy,Team17,Team17
Worms Rumble,Artilleryturn-based strategy,Team17,Team17
Worms W.M.D,Artilleryturn-based strategy,Team17,Team17
Worse Than Death,Horror,Benjamin Rivers,Benjamin Rivers
Woven,Action-adventure,Alterego Games,Stickylock
WRC 5,"Racing, Rally",Kylotonn Games,Bigben Interactive
WRC 6,"Racing, Rally",Kylotonn Games,Bigben Interactive
WRC 7,"Racing, Rally",Kylotonn Games,Bigben Interactive
WRC 8,"Racing, Rally",Kylotonn Games,Bigben Interactive
WRC 9,"Racing, Rally",Kylotonn Games,Bigben Interactive
WRC 10,"Racing, Rally",Kylotonn Games,Nacon
Wreckfest,Vehicular combat,Bugbear Entertainment,THQ Nordic
Wulverblade,"Brawler, sidescroller",Darkwind Media,Darkwind Media
Wuppo,"Action-Adventure, Platformer",Knuist & Perzik,Soedesco
WWE 2K15,Sports,Yuke's/Visual Concepts,2K Sports
WWE 2K16,Sports,Yuke's/Visual Concepts,2K Sports
WWE 2K17,Sports,Yuke's/Visual Concepts,2K Sports
WWE 2K18,Sports,Yuke's/Visual Concepts,2K Sports
WWE 2K19,Sports,Yuke's/Visual Concepts,2K Sports
WWE 2K20,Sports,Visual Concepts,2K Sports
WWE 2K Battlegrounds,Sports,Saber Interactive,2K Sports
X-Morph: Defense,Twin-stick shootertower defense,Exor Studios,Exor Studios
Xcom 2,Strategy & Simulation,Firaxis Games,2K Games
Xeno Crisis,Top-down shooter,Bitmap Bureau,Bitmap Bureau
Xenon Racer,Racing,3D Clouds,Soedesco
Xenon Valkyrie+,Platformerrole-playing,Diabolical MindCowCat,CowCat
Xenoraid,Shoot 'em up,10tons,10tons
Xenoraptor,Twin stick shooter,"Peter Cleary, Stage Clear Studios",Digerati
XIII,"First-person shooter, stealth",PlayMagic,Microïds
Xuan-Yuan Sword: The Gate of Firmament,Role-playing,Softstar Entertainment,E-Home Entertainment
Yaga,Action role-playing,Breadcrumbs Interactive,Versus Evil
Yakuza 0,Action-adventure,Sega,Sega
Yakuza 6: The Song of Life,Action-adventure,Sega,Sega
Yakuza Kiwami,Action-adventure,Sega,Sega
Yakuza Kiwami 2,Action-adventure,Sega,Sega
Yakuza: Like a Dragon,Role-playing,Ryu Ga Gotoku Studio,Sega
The Yakuza Remastered Collection,Action-adventure,Sega,Sega
Yasai Ninja,Action & Adventure,Reco Technology,Reco Technology
"Yes, Your Grace",Role-playing,Brave at Night,No More Robots
Yesterday Origins,Adventure,Pendulo Studios,Microids
YesterMorrow,Puzzle-platform,Bitmap Galaxy,Blowfish Studios
Yet Another Zombie Defense HD,Top-down shooter,Awesome Games Studio,Awesome Games Studio
Yoku's Island Express,"Platformer, pinball, adventure",Villa Gorilla,Team17
Yonder: The Cloud Catcher Chronicles,Adventure,Prideful Sloth,Merge Games
Yooka-Laylee,3D Platformer,Playtonic Games,Team17
Yooka-Laylee and the Impossible Lair,3D Platformer,Playtonic Games,Team17
Your Toy,"Adventure, Puzzle",Viva Games,E-Home Entertainment
Youtubers Life OMG! Edition,"Life simulation, Strategy",UPlay Online,UPlay Online
Ys Origin,Action role-playing,DotEmu,DotEmu
Yu-Gi-Oh! Legacy of the Duelist,Card & Board,Other Ocean Interactive,Konami
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,Card battle,Konami,Konami
Yu-Gi-Oh! Master Duel,Card battle,Konami,Konami
Yuoni,Survival horror,Tricore,Chorus Worldwide
The Z Axis: Continuum,Puzzle Platformer,Lazerpants Games,Lazerpants Games
Zamb! Redux,"Twin-stick shooter, tower defense",Nano Games,Nano Games
"Zazen, zen meditation game",Exergaming,Nangok Software,Nangok Software
Zengeon,Action role-playing,IndieLeague Studio,PQube
Zenith,Role-playing,Infinigon,BadLand Games
Zeroptian Invasion,"Shoot 'em up, Arcade",Josyanf1,Ratalaika Games
Zheros,Action & Adventure,Rimlight Studios,Rimlight Studios
Ziggurat,First-person shooterdungeon crawl,Milkstone Studios,Milkstone Studios
Zombi,Action & Adventure,Ubisoft Montpellier,Ubisoft
