Title,Genre(s),Developer(s),Publisher(s)
AO Tennis,Sports,Big Ant Studios,Big Ant Studios
AO Tennis 2,Sports,Big Ant Studios,Big Ant Studios
A Pixel Story,"Platform, puzzle",Lamplight Studios,Rising Star Games
A Plague Tale: Innocence,Action-adventure,Asobo Studio,JP: Oizumi AmuseoWW: Focus Home Interactive
Apocalypse,Action role-playing,Future Tech,Future Tech
Apotheon,"Action role-playing, platform",Alientrap,Alientrap
Aqua Moto Racing Utopia,Racing,Zordix,Zordix
The Aquatic Adventure of the Last Human,Metroidvania,Stage Clear Studios,Digerati
Ara Fell: Enhanced Edition,Role-playing,Stegosoft,Dangen Entertainment
Aragami,Action-adventurestealth,Lince Works,Merge Games
Aragami 2,Action-adventurestealth,Lince Works,Lince Works
Arcade Classics Anniversary Collection,Shoot 'em up,Konami,Konami
Arcade Spirits,Visual novel,Fiction Factory Games,PQube
Arcania: The Complete Tale,Action role-playing,Black Forest Games,Nordic Games
Archaica: The Path of Light,Puzzle,TwoMammoths,Drageus Games
Archetype Arcadia,Visual novel,Water Phoenix,Kemco
Arc of Alchemist,Action role-playing,Compile Heart,Idea Factory
Arietta of Spirits,Action-adventure,Third Spirits,Red Art Games
Arise: A Simple Story,Adventure,Piccolo Studio,Techland Publishing
Ark: Survival Evolved,"Action, survival",Studio Wildcard,Studio Wildcard
Armello,"Board game, role-playing",League of Geeks,League of Geeks
Ar Nosurge DX,Role-playing,Gust Co. Ltd.,Koei Tecmo
Arslan: The Warriors of Legend,Action,Koei Tecmo,Koei Tecmo
Art of Balance,Puzzle,Shin'en Multimedia,Shin'en Multimedia
Art of Rally,Racing,Funselektor Labs,Funselektor Labs
The Artful Escape,Platform,Beethoven & Dinosaur,Annapurna Interactive
Ary and the Secret of Seasons,Action-adventure,Exiin,Modus Games
Asatsugutori,Adventure,Nippon Ichi Software,Nippon Ichi Software
Asdivine Dios,Role-playing,Exe Create,Kemco
Asdivine Hearts,Role-playing,Kotobuki Solution,Kemco
Asdivine Hearts II,Role-playing,Exe Create,Kemco
Asdivine Kamura,Role-playing,Exe Create,Kemco
Asdivine Menace,Role-playing,Exe Create,Kemco
Asemblance,First-person adventure,Nilo Studios,Nilo Studios
Asemblance: Oversight,First-person adventure,Nilo Studios,Nilo Studios
Ashen,Action role-playing,A44,Annapurna Interactive
Ashes Cricket,Sports,Big Ant Studios,Big Ant Studios
A Space for the Unbound,Adventure,Mojiken Studio,Chorus Worldwide
Assassin's Creed III Remastered,Action-adventurestealth,Ubisoft Montreal,Ubisoft
Assassin's Creed IV: Black Flag,Action-adventurestealth,Ubisoft Montreal,Ubisoft
Assassin's Creed Chronicles: China,Action-adventurestealth,Climax Studios,Ubisoft
Assassin's Creed Chronicles: India,Action-adventurestealth,Climax Studios,Ubisoft
Assassin's Creed Chronicles: Russia,Action-adventurestealth,Climax Studios,Ubisoft
Assassin's Creed: The Ezio Collection,Action-adventurestealth,Virtuos,Ubisoft
Assassin's Creed Odyssey,Action-adventurestealth,Ubisoft Quebec,Ubisoft
Assassin's Creed: Origins,Action-adventurestealth,Ubisoft,Ubisoft
Assassin's Creed Rogue Remastered,Action-adventurestealth,Ubisoft Sofia,Ubisoft
Assassin's Creed Syndicate,Action-adventurestealth,Ubisoft Quebec,Ubisoft
Assassin's Creed Unity,Action-adventurestealth,Ubisoft Toronto,Ubisoft
Assassin's Creed Valhalla,Action-adventurestealth,Ubisoft Montreal,Ubisoft
Assault Android Cactus,Shoot 'em up,Witch Beam,Witch Beam
Assault Suit Leynos,Shooter,Dracue Software,Extreme
The Assembly,Adventure,nDreams,nDreams
Assetto Corsa,Racing,Kunos Simulazioni,505 Games
Assetto Corsa Competizione,Racing,Kunos Simulazioni,505 Games
Astalon: Tears of the Earth,Actionplatform,LABSworks,Dangen Entertainment
Astebreed,Actionshoot 'em up,Edelweiss,JP: PlayismWW: AGM
Asterigos,Action role-playing,Acme Gamestudio,Acme Gamestudio
Asterix & Obelix: Slap Them All!,Beat 'em up,Mr. Nutz Studio,Microids
Asterix & Obelix XXL: Romastered,Action-adventure,OSome Studios,Microids
Asterix & Obelix XXL 2: Mission: Las Vegum,Action-adventure,OSome Studios,Anuman Interactive
Asterix & Obelix XXL 3: The Crystal Menhir,Action-adventure,OSome Studios,Anuman Interactive
Astria Ascending,Role-playing,Artisan Studios,Dear Villagers
Astroneer,Adventure,System Era Softworks,System Era Softworks
A Tale of Paper,Platform,Open House Games,Sony Interactive Entertainment
Atari Flashback Classics: Volume 1,Arcade,Atari,Atari
Atari Flashback Classics: Volume 2,Arcade,Atari,Atari
Atari Flashback Classics: Volume 3,Arcade,Code Mystics,Atari
Atelier Ayesha: The Alchemist of Dusk DX,Role-playing,Gust,Koei Tecmo
Atelier Escha & Logy: Alchemists of the Dusk Sky DX,Role-playing,Gust,Koei Tecmo
Atelier Firis: The Alchemist and the Mysterious Journey,Role-playing,Gust,Koei Tecmo
Atelier Lulua: The Scion of Arland,Role-playing,Gust,Koei Tecmo
Atelier Lydie & Suelle: Alchemists of the Mysterious Painting,Role-playing,Gust,Koei Tecmo
Atelier Meruru: The Apprentice of Arland,Role-playing,Gust,Koei Tecmo
Atelier Rorona: The Alchemist of Arland,Role-playing,Gust,Koei Tecmo
Atelier Ryza: Ever Darkness & the Secret Hideout,Role-playing,Gust,Koei Tecmo
